"period","zone","age","measure","value"
"2006-2008","S01001820","19 And Under","Ratio","22.22"
"2007-2009","S01001820","19 And Under","Ratio",20
"2008-2010","S01001820","19 And Under","Ratio",5
"2009-2011","S01001820","19 And Under","Ratio",0
"2010-2012","S01001820","19 And Under","Ratio",10
"2000-2002","S01001820","19 And Under","Ratio","46.15"
"2011-2013","S01001820","19 And Under","Ratio","11.11"
"2003-2005","S01001820","35 And Over","Ratio","6.67"
"2008-2010","S01001820","35 And Over","Ratio",15
"2009-2011","S01001820","35 And Over","Ratio","12.5"
"2002-2004","S01001820","35 And Over","Ratio","7.14"
"2000-2002","S01001820","35 And Over","Ratio",0
"2004-2006","S01001820","35 And Over","Ratio",0
"2005-2007","S01001820","35 And Over","Ratio",0
"2001-2003","S01001820","35 And Over","Ratio","7.69"
"2006-2008","S01001820","35 And Over","Ratio","5.56"
"2007-2009","S01001820","35 And Over","Ratio",5
"2011-2013","S01001820","35 And Over","Ratio",0
"2010-2012","S01001820","35 And Over","Ratio",20
"2008-2010","S01001821","35 And Over","Count",2
"2003-2005","S01001821","All","Count",24
"2000-2002","S01001821","35 And Over","Count",1
"2001-2003","S01001821","19 And Under","Count",3
"2007-2009","S01001821","All","Count",25
"2002-2004","S01001821","19 And Under","Count",2
"2009-2011","S01001821","35 And Over","Count",1
"2011-2013","S01001821","35 And Over","Count",1
"2001-2003","S01001821","All","Count",24
"2003-2005","S01001821","19 And Under","Count",2
"2006-2008","S01001821","All","Count",27
"2004-2006","S01001821","19 And Under","Count",3
"2005-2007","S01001821","35 And Over","Count",0
"2002-2004","S01001821","35 And Over","Count",1
"2006-2008","S01001821","35 And Over","Count",2
"2004-2006","S01001821","35 And Over","Count",0
"2005-2007","S01001821","19 And Under","Count",3
"2010-2012","S01001821","35 And Over","Count",1
"2003-2005","S01001821","35 And Over","Count",0
"2004-2006","S01001821","All","Count",26
"2006-2008","S01001821","19 And Under","Count",3
"2011-2013","S01001821","All","Count",21
"2007-2009","S01001821","35 And Over","Count",2
"2001-2003","S01001821","35 And Over","Count",1
"2005-2007","S01001821","All","Count",27
"2007-2009","S01001821","19 And Under","Count",1
"2008-2010","S01001821","19 And Under","Count",1
"2010-2012","S01001821","All","Count",23
"2009-2011","S01001821","19 And Under","Count",0
"2002-2004","S01001821","All","Count",22
"2009-2011","S01001821","All","Count",21
"2010-2012","S01001821","19 And Under","Count",0
"2000-2002","S01001821","19 And Under","Count",2
"2000-2002","S01001821","All","Count",30
"2011-2013","S01001821","19 And Under","Count",0
"2008-2010","S01001821","All","Count",26
"2001-2003","S01001821","19 And Under","Ratio","12.5"
"2002-2004","S01001821","19 And Under","Ratio","9.09"
"2003-2005","S01001821","19 And Under","Ratio","8.33"
"2004-2006","S01001821","19 And Under","Ratio","11.54"
"2005-2007","S01001821","19 And Under","Ratio","11.11"
"2006-2008","S01001821","19 And Under","Ratio","11.11"
"2007-2009","S01001821","19 And Under","Ratio",4
"2008-2010","S01001821","19 And Under","Ratio","3.85"
"2009-2011","S01001821","19 And Under","Ratio",0
"2010-2012","S01001821","19 And Under","Ratio",0
"2000-2002","S01001821","19 And Under","Ratio","6.67"
"2011-2013","S01001821","19 And Under","Ratio",0
"2003-2005","S01001821","35 And Over","Ratio",0
"2008-2010","S01001821","35 And Over","Ratio","7.69"
"2009-2011","S01001821","35 And Over","Ratio","4.76"
"2002-2004","S01001821","35 And Over","Ratio","4.55"
"2000-2002","S01001821","35 And Over","Ratio","3.33"
"2004-2006","S01001821","35 And Over","Ratio",0
"2005-2007","S01001821","35 And Over","Ratio",0
"2001-2003","S01001821","35 And Over","Ratio","4.17"
"2006-2008","S01001821","35 And Over","Ratio","7.41"
"2007-2009","S01001821","35 And Over","Ratio",8
"2011-2013","S01001821","35 And Over","Ratio","4.76"
"2010-2012","S01001821","35 And Over","Ratio","4.35"
"2008-2010","S01001822","35 And Over","Count",4
"2003-2005","S01001822","All","Count",16
"2000-2002","S01001822","35 And Over","Count",2
"2001-2003","S01001822","19 And Under","Count",3
"2007-2009","S01001822","All","Count",13
"2002-2004","S01001822","19 And Under","Count",3
"2009-2011","S01001822","35 And Over","Count",4
"2011-2013","S01001822","35 And Over","Count",2
"2001-2003","S01001822","All","Count",24
"2003-2005","S01001822","19 And Under","Count",2
"2006-2008","S01001822","All","Count",15
"2004-2006","S01001822","19 And Under","Count",0
"2005-2007","S01001822","35 And Over","Count",4
"2002-2004","S01001822","35 And Over","Count",0
"2006-2008","S01001822","35 And Over","Count",2
"2004-2006","S01001822","35 And Over","Count",3
"2005-2007","S01001822","19 And Under","Count",0
"2010-2012","S01001822","35 And Over","Count",1
"2003-2005","S01001822","35 And Over","Count",3
"2004-2006","S01001822","All","Count",18
"2006-2008","S01001822","19 And Under","Count",0
"2011-2013","S01001822","All","Count",8
"2007-2009","S01001822","35 And Over","Count",5
"2001-2003","S01001822","35 And Over","Count",1
"2005-2007","S01001822","All","Count",20
"2007-2009","S01001822","19 And Under","Count",0
"2008-2010","S01001822","19 And Under","Count",0
"2010-2012","S01001822","All","Count",7
"2009-2011","S01001822","19 And Under","Count",0
"2002-2004","S01001822","All","Count",17
"2009-2011","S01001822","All","Count",10
"2010-2012","S01001822","19 And Under","Count",0
"2000-2002","S01001822","19 And Under","Count",1
"2000-2002","S01001822","All","Count",21
"2011-2013","S01001822","19 And Under","Count",0
"2008-2010","S01001822","All","Count",11
"2001-2003","S01001822","19 And Under","Ratio","12.5"
"2002-2004","S01001822","19 And Under","Ratio","17.65"
"2003-2005","S01001822","19 And Under","Ratio","12.5"
"2004-2006","S01001822","19 And Under","Ratio",0
"2005-2007","S01001822","19 And Under","Ratio",0
"2006-2008","S01001822","19 And Under","Ratio",0
"2007-2009","S01001822","19 And Under","Ratio",0
"2008-2010","S01001822","19 And Under","Ratio",0
"2009-2011","S01001822","19 And Under","Ratio",0
"2010-2012","S01001822","19 And Under","Ratio",0
"2000-2002","S01001822","19 And Under","Ratio","4.76"
"2011-2013","S01001822","19 And Under","Ratio",0
"2003-2005","S01001822","35 And Over","Ratio","18.75"
"2008-2010","S01001822","35 And Over","Ratio","36.36"
"2009-2011","S01001822","35 And Over","Ratio",40
"2002-2004","S01001822","35 And Over","Ratio",0
"2000-2002","S01001822","35 And Over","Ratio","9.52"
"2004-2006","S01001822","35 And Over","Ratio","16.67"
"2005-2007","S01001822","35 And Over","Ratio",20
"2001-2003","S01001822","35 And Over","Ratio","4.17"
"2006-2008","S01001822","35 And Over","Ratio","13.33"
"2007-2009","S01001822","35 And Over","Ratio","38.46"
"2011-2013","S01001822","35 And Over","Ratio",25
"2010-2012","S01001822","35 And Over","Ratio","14.29"
"2008-2010","S01001823","35 And Over","Count",1
"2003-2005","S01001823","All","Count",20
"2000-2002","S01001823","35 And Over","Count",2
"2001-2003","S01001823","19 And Under","Count",11
"2007-2009","S01001823","All","Count",24
"2002-2004","S01001823","19 And Under","Count",9
"2009-2011","S01001823","35 And Over","Count",1
"2011-2013","S01001823","35 And Over","Count",0
"2001-2003","S01001823","All","Count",23
"2003-2005","S01001823","19 And Under","Count",8
"2006-2008","S01001823","All","Count",28
"2004-2006","S01001823","19 And Under","Count",12
"2005-2007","S01001823","35 And Over","Count",0
"2002-2004","S01001823","35 And Over","Count",0
"2006-2008","S01001823","35 And Over","Count",0
"2004-2006","S01001823","35 And Over","Count",0
"2005-2007","S01001823","19 And Under","Count",13
"2010-2012","S01001823","35 And Over","Count",1
"2003-2005","S01001823","35 And Over","Count",0
"2004-2006","S01001823","All","Count",28
"2006-2008","S01001823","19 And Under","Count",10
"2011-2013","S01001823","All","Count",13
"2007-2009","S01001823","35 And Over","Count",0
"2001-2003","S01001823","35 And Over","Count",0
"2005-2007","S01001823","All","Count",33
"2007-2009","S01001823","19 And Under","Count",6
"2008-2010","S01001823","19 And Under","Count",6
"2010-2012","S01001823","All","Count",16
"2009-2011","S01001823","19 And Under","Count",6
"2002-2004","S01001823","All","Count",19
"2009-2011","S01001823","All","Count",24
"2010-2012","S01001823","19 And Under","Count",5
"2000-2002","S01001823","19 And Under","Count",14
"2000-2002","S01001823","All","Count",25
"2011-2013","S01001823","19 And Under","Count",3
"2008-2010","S01001823","All","Count",24
"2001-2003","S01001823","19 And Under","Ratio","47.83"
"2002-2004","S01001823","19 And Under","Ratio","47.37"
"2003-2005","S01001823","19 And Under","Ratio",40
"2004-2006","S01001823","19 And Under","Ratio","42.86"
"2005-2007","S01001823","19 And Under","Ratio","39.39"
"2006-2008","S01001823","19 And Under","Ratio","35.71"
"2007-2009","S01001823","19 And Under","Ratio",25
"2008-2010","S01001823","19 And Under","Ratio",25
"2009-2011","S01001823","19 And Under","Ratio",25
"2010-2012","S01001823","19 And Under","Ratio","31.25"
"2000-2002","S01001823","19 And Under","Ratio",56
"2011-2013","S01001823","19 And Under","Ratio","23.08"
"2003-2005","S01001823","35 And Over","Ratio",0
"2008-2010","S01001823","35 And Over","Ratio","4.17"
"2009-2011","S01001823","35 And Over","Ratio","4.17"
"2002-2004","S01001823","35 And Over","Ratio",0
"2000-2002","S01001823","35 And Over","Ratio",8
"2004-2006","S01001823","35 And Over","Ratio",0
"2005-2007","S01001823","35 And Over","Ratio",0
"2001-2003","S01001823","35 And Over","Ratio",0
"2006-2008","S01001823","35 And Over","Ratio",0
"2007-2009","S01001823","35 And Over","Ratio",0
"2011-2013","S01001823","35 And Over","Ratio",0
"2010-2012","S01001823","35 And Over","Ratio","6.25"
"2008-2010","S01001824","35 And Over","Count",4
"2003-2005","S01001824","All","Count",9
"2000-2002","S01001824","35 And Over","Count",0
"2001-2003","S01001824","19 And Under","Count",2
"2007-2009","S01001824","All","Count",11
"2002-2004","S01001824","19 And Under","Count",1
"2009-2011","S01001824","35 And Over","Count",2
"2011-2013","S01001824","35 And Over","Count",1
"2001-2003","S01001824","All","Count",6
"2003-2005","S01001824","19 And Under","Count",1
"2006-2008","S01001824","All","Count",13
"2004-2006","S01001824","19 And Under","Count",1
"2005-2007","S01001824","35 And Over","Count",1
"2002-2004","S01001824","35 And Over","Count",3
"2006-2008","S01001824","35 And Over","Count",4
"2004-2006","S01001824","35 And Over","Count",4
"2005-2007","S01001824","19 And Under","Count",1
"2010-2012","S01001824","35 And Over","Count",1
"2003-2005","S01001824","35 And Over","Count",3
"2004-2006","S01001824","All","Count",12
"2006-2008","S01001824","19 And Under","Count",0
"2011-2013","S01001824","All","Count",3
"2007-2009","S01001824","35 And Over","Count",4
"2001-2003","S01001824","35 And Over","Count",0
"2005-2007","S01001824","All","Count",11
"2007-2009","S01001824","19 And Under","Count",0
"2008-2010","S01001824","19 And Under","Count",0
"2010-2012","S01001824","All","Count",5
"2009-2011","S01001824","19 And Under","Count",0
"2002-2004","S01001824","All","Count",8
"2009-2011","S01001824","All","Count",7
"2010-2012","S01001824","19 And Under","Count",0
"2000-2002","S01001824","19 And Under","Count",2
"2000-2002","S01001824","All","Count",8
"2011-2013","S01001824","19 And Under","Count",0
"2008-2010","S01001824","All","Count",10
"2001-2003","S01001824","19 And Under","Ratio","33.33"
"2002-2004","S01001824","19 And Under","Ratio","12.5"
"2003-2005","S01001824","19 And Under","Ratio","11.11"
"2004-2006","S01001824","19 And Under","Ratio","8.33"
"2005-2007","S01001824","19 And Under","Ratio","9.09"
"2006-2008","S01001824","19 And Under","Ratio",0
"2007-2009","S01001824","19 And Under","Ratio",0
"2008-2010","S01001824","19 And Under","Ratio",0
"2009-2011","S01001824","19 And Under","Ratio",0
"2010-2012","S01001824","19 And Under","Ratio",0
"2000-2002","S01001824","19 And Under","Ratio",25
"2011-2013","S01001824","19 And Under","Ratio",0
"2003-2005","S01001824","35 And Over","Ratio","33.33"
"2008-2010","S01001824","35 And Over","Ratio",40
"2009-2011","S01001824","35 And Over","Ratio","28.57"
"2002-2004","S01001824","35 And Over","Ratio","37.5"
"2000-2002","S01001824","35 And Over","Ratio",0
"2004-2006","S01001824","35 And Over","Ratio","33.33"
"2005-2007","S01001824","35 And Over","Ratio","9.09"
"2001-2003","S01001824","35 And Over","Ratio",0
"2006-2008","S01001824","35 And Over","Ratio","30.77"
"2007-2009","S01001824","35 And Over","Ratio","36.36"
"2011-2013","S01001824","35 And Over","Ratio","33.33"
"2010-2012","S01001824","35 And Over","Ratio",20
"2008-2010","S01001825","35 And Over","Count",2
"2003-2005","S01001825","All","Count",8
"2000-2002","S01001825","35 And Over","Count",4
"2001-2003","S01001825","19 And Under","Count",0
"2007-2009","S01001825","All","Count",19
"2002-2004","S01001825","19 And Under","Count",0
"2009-2011","S01001825","35 And Over","Count",3
"2011-2013","S01001825","35 And Over","Count",2
"2001-2003","S01001825","All","Count",11
"2003-2005","S01001825","19 And Under","Count",0
"2006-2008","S01001825","All","Count",20
"2004-2006","S01001825","19 And Under","Count",0
"2005-2007","S01001825","35 And Over","Count",2
"2002-2004","S01001825","35 And Over","Count",3
"2006-2008","S01001825","35 And Over","Count",2
"2004-2006","S01001825","35 And Over","Count",1
"2005-2007","S01001825","19 And Under","Count",0
"2010-2012","S01001825","35 And Over","Count",3
"2003-2005","S01001825","35 And Over","Count",1
"2004-2006","S01001825","All","Count",10
"2006-2008","S01001825","19 And Under","Count",0
"2011-2013","S01001825","All","Count",7
"2007-2009","S01001825","35 And Over","Count",3
"2001-2003","S01001825","35 And Over","Count",4
"2005-2007","S01001825","All","Count",16
"2007-2009","S01001825","19 And Under","Count",0
"2008-2010","S01001825","19 And Under","Count",0
"2010-2012","S01001825","All","Count",7
"2009-2011","S01001825","19 And Under","Count",0
"2002-2004","S01001825","All","Count",9
"2009-2011","S01001825","All","Count",8
"2010-2012","S01001825","19 And Under","Count",0
"2000-2002","S01001825","19 And Under","Count",0
"2000-2002","S01001825","All","Count",12
"2011-2013","S01001825","19 And Under","Count",0
"2008-2010","S01001825","All","Count",12
"2001-2003","S01001825","19 And Under","Ratio",0
"2002-2004","S01001825","19 And Under","Ratio",0
"2003-2005","S01001825","19 And Under","Ratio",0
"2004-2006","S01001825","19 And Under","Ratio",0
"2005-2007","S01001825","19 And Under","Ratio",0
"2006-2008","S01001825","19 And Under","Ratio",0
"2007-2009","S01001825","19 And Under","Ratio",0
"2008-2010","S01001825","19 And Under","Ratio",0
"2009-2011","S01001825","19 And Under","Ratio",0
"2010-2012","S01001825","19 And Under","Ratio",0
"2000-2002","S01001825","19 And Under","Ratio",0
"2011-2013","S01001825","19 And Under","Ratio",0
"2003-2005","S01001825","35 And Over","Ratio","12.5"
"2008-2010","S01001825","35 And Over","Ratio","16.67"
"2009-2011","S01001825","35 And Over","Ratio","37.5"
"2002-2004","S01001825","35 And Over","Ratio","33.33"
"2000-2002","S01001825","35 And Over","Ratio","33.33"
"2004-2006","S01001825","35 And Over","Ratio",10
"2005-2007","S01001825","35 And Over","Ratio","12.5"
"2001-2003","S01001825","35 And Over","Ratio","36.36"
"2006-2008","S01001825","35 And Over","Ratio",10
"2007-2009","S01001825","35 And Over","Ratio","15.79"
"2011-2013","S01001825","35 And Over","Ratio","28.57"
"2010-2012","S01001825","35 And Over","Ratio","42.86"
"2008-2010","S01001826","35 And Over","Count",2
"2003-2005","S01001826","All","Count",17
"2000-2002","S01001826","35 And Over","Count",0
"2001-2003","S01001826","19 And Under","Count",7
"2007-2009","S01001826","All","Count",11
"2002-2004","S01001826","19 And Under","Count",4
"2009-2011","S01001826","35 And Over","Count",1
"2011-2013","S01001826","35 And Over","Count",0
"2001-2003","S01001826","All","Count",18
"2003-2005","S01001826","19 And Under","Count",2
"2006-2008","S01001826","All","Count",10
"2004-2006","S01001826","19 And Under","Count",1
"2005-2007","S01001826","35 And Over","Count",1
"2002-2004","S01001826","35 And Over","Count",2
"2006-2008","S01001826","35 And Over","Count",2
"2004-2006","S01001826","35 And Over","Count",1
"2005-2007","S01001826","19 And Under","Count",3
"2010-2012","S01001826","35 And Over","Count",1
"2003-2005","S01001826","35 And Over","Count",2
"2004-2006","S01001826","All","Count",12
"2006-2008","S01001826","19 And Under","Count",3
"2011-2013","S01001826","All","Count",2
"2007-2009","S01001826","35 And Over","Count",2
"2001-2003","S01001826","35 And Over","Count",1
"2005-2007","S01001826","All","Count",13
"2007-2009","S01001826","19 And Under","Count",4
"2008-2010","S01001826","19 And Under","Count",5
"2010-2012","S01001826","All","Count",10
"2009-2011","S01001826","19 And Under","Count",5
"2002-2004","S01001826","All","Count",18
"2009-2011","S01001826","All","Count",13
"2010-2012","S01001826","19 And Under","Count",3
"2000-2002","S01001826","19 And Under","Count",7
"2000-2002","S01001826","All","Count",16
"2011-2013","S01001826","19 And Under","Count",0
"2008-2010","S01001826","All","Count",15
"2001-2003","S01001826","19 And Under","Ratio","38.89"
"2002-2004","S01001826","19 And Under","Ratio","22.22"
"2003-2005","S01001826","19 And Under","Ratio","11.76"
"2004-2006","S01001826","19 And Under","Ratio","8.33"
"2005-2007","S01001826","19 And Under","Ratio","23.08"
"2006-2008","S01001826","19 And Under","Ratio",30
"2007-2009","S01001826","19 And Under","Ratio","36.36"
"2008-2010","S01001826","19 And Under","Ratio","33.33"
"2009-2011","S01001826","19 And Under","Ratio","38.46"
"2010-2012","S01001826","19 And Under","Ratio",30
"2000-2002","S01001826","19 And Under","Ratio","43.75"
"2011-2013","S01001826","19 And Under","Ratio",0
"2003-2005","S01001826","35 And Over","Ratio","11.76"
"2008-2010","S01001826","35 And Over","Ratio","13.33"
"2009-2011","S01001826","35 And Over","Ratio","7.69"
"2002-2004","S01001826","35 And Over","Ratio","11.11"
"2000-2002","S01001826","35 And Over","Ratio",0
"2004-2006","S01001826","35 And Over","Ratio","8.33"
"2005-2007","S01001826","35 And Over","Ratio","7.69"
"2001-2003","S01001826","35 And Over","Ratio","5.56"
"2006-2008","S01001826","35 And Over","Ratio",20
"2007-2009","S01001826","35 And Over","Ratio","18.18"
"2011-2013","S01001826","35 And Over","Ratio",0
"2010-2012","S01001826","35 And Over","Ratio",10
"2008-2010","S01001827","35 And Over","Count",1
"2003-2005","S01001827","All","Count",17
"2000-2002","S01001827","35 And Over","Count",0
"2001-2003","S01001827","19 And Under","Count",10
"2007-2009","S01001827","All","Count",30
"2002-2004","S01001827","19 And Under","Count",10
"2009-2011","S01001827","35 And Over","Count",3
"2011-2013","S01001827","35 And Over","Count",2
"2001-2003","S01001827","All","Count",26
"2003-2005","S01001827","19 And Under","Count",7
"2006-2008","S01001827","All","Count",25
"2004-2006","S01001827","19 And Under","Count",5
"2005-2007","S01001827","35 And Over","Count",2
"2002-2004","S01001827","35 And Over","Count",1
"2006-2008","S01001827","35 And Over","Count",1
"2004-2006","S01001827","35 And Over","Count",2
"2005-2007","S01001827","19 And Under","Count",5
"2010-2012","S01001827","35 And Over","Count",2
"2003-2005","S01001827","35 And Over","Count",2
"2004-2006","S01001827","All","Count",16
"2006-2008","S01001827","19 And Under","Count",8
"2011-2013","S01001827","All","Count",11
"2007-2009","S01001827","35 And Over","Count",2
"2001-2003","S01001827","35 And Over","Count",0
"2005-2007","S01001827","All","Count",22
"2007-2009","S01001827","19 And Under","Count",8
"2008-2010","S01001827","19 And Under","Count",5
"2010-2012","S01001827","All","Count",12
"2009-2011","S01001827","19 And Under","Count",1
"2002-2004","S01001827","All","Count",23
"2009-2011","S01001827","All","Count",18
"2010-2012","S01001827","19 And Under","Count",0
"2000-2002","S01001827","19 And Under","Count",7
"2000-2002","S01001827","All","Count",24
"2011-2013","S01001827","19 And Under","Count",0
"2008-2010","S01001827","All","Count",21
"2001-2003","S01001827","19 And Under","Ratio","38.46"
"2002-2004","S01001827","19 And Under","Ratio","43.48"
"2003-2005","S01001827","19 And Under","Ratio","41.18"
"2004-2006","S01001827","19 And Under","Ratio","31.25"
"2005-2007","S01001827","19 And Under","Ratio","22.73"
"2006-2008","S01001827","19 And Under","Ratio",32
"2007-2009","S01001827","19 And Under","Ratio","26.67"
"2008-2010","S01001827","19 And Under","Ratio","23.81"
"2009-2011","S01001827","19 And Under","Ratio","5.56"
"2010-2012","S01001827","19 And Under","Ratio",0
"2000-2002","S01001827","19 And Under","Ratio","29.17"
"2011-2013","S01001827","19 And Under","Ratio",0
"2003-2005","S01001827","35 And Over","Ratio","11.76"
"2008-2010","S01001827","35 And Over","Ratio","4.76"
"2009-2011","S01001827","35 And Over","Ratio","16.67"
"2002-2004","S01001827","35 And Over","Ratio","4.35"
"2000-2002","S01001827","35 And Over","Ratio",0
"2004-2006","S01001827","35 And Over","Ratio","12.5"
"2005-2007","S01001827","35 And Over","Ratio","9.09"
"2001-2003","S01001827","35 And Over","Ratio",0
"2006-2008","S01001827","35 And Over","Ratio",4
"2007-2009","S01001827","35 And Over","Ratio","6.67"
"2011-2013","S01001827","35 And Over","Ratio","18.18"
"2010-2012","S01001827","35 And Over","Ratio","16.67"
"2008-2010","S01001828","35 And Over","Count",2
"2003-2005","S01001828","All","Count",6
"2000-2002","S01001828","35 And Over","Count",3
"2001-2003","S01001828","19 And Under","Count",0
"2007-2009","S01001828","All","Count",9
"2002-2004","S01001828","19 And Under","Count",0
"2009-2011","S01001828","35 And Over","Count",0
"2011-2013","S01001828","35 And Over","Count",0
"2001-2003","S01001828","All","Count",10
"2003-2005","S01001828","19 And Under","Count",1
"2006-2008","S01001828","All","Count",11
"2004-2006","S01001828","19 And Under","Count",1
"2005-2007","S01001828","35 And Over","Count",2
"2002-2004","S01001828","35 And Over","Count",0
"2006-2008","S01001828","35 And Over","Count",4
"2004-2006","S01001828","35 And Over","Count",1
"2005-2007","S01001828","19 And Under","Count",1
"2010-2012","S01001828","35 And Over","Count",0
"2003-2005","S01001828","35 And Over","Count",0
"2004-2006","S01001828","All","Count",7
"2006-2008","S01001828","19 And Under","Count",0
"2011-2013","S01001828","All","Count",1
"2007-2009","S01001828","35 And Over","Count",3
"2001-2003","S01001828","35 And Over","Count",2
"2005-2007","S01001828","All","Count",9
"2007-2009","S01001828","19 And Under","Count",0
"2008-2010","S01001828","19 And Under","Count",0
"2010-2012","S01001828","All","Count",1
"2009-2011","S01001828","19 And Under","Count",0
"2002-2004","S01001828","All","Count",8
"2009-2011","S01001828","All","Count",2
"2010-2012","S01001828","19 And Under","Count",0
"2000-2002","S01001828","19 And Under","Count",0
"2000-2002","S01001828","All","Count",12
"2011-2013","S01001828","19 And Under","Count",0
"2008-2010","S01001828","All","Count",5
"2001-2003","S01001828","19 And Under","Ratio",0
"2002-2004","S01001828","19 And Under","Ratio",0
"2003-2005","S01001828","19 And Under","Ratio","16.67"
"2004-2006","S01001828","19 And Under","Ratio","14.29"
"2005-2007","S01001828","19 And Under","Ratio","11.11"
"2006-2008","S01001828","19 And Under","Ratio",0
"2007-2009","S01001828","19 And Under","Ratio",0
"2008-2010","S01001828","19 And Under","Ratio",0
"2009-2011","S01001828","19 And Under","Ratio",0
"2010-2012","S01001828","19 And Under","Ratio",0
"2000-2002","S01001828","19 And Under","Ratio",0
"2011-2013","S01001828","19 And Under","Ratio",0
"2003-2005","S01001828","35 And Over","Ratio",0
"2008-2010","S01001828","35 And Over","Ratio",40
"2009-2011","S01001828","35 And Over","Ratio",0
"2002-2004","S01001828","35 And Over","Ratio",0
"2000-2002","S01001828","35 And Over","Ratio",25
"2004-2006","S01001828","35 And Over","Ratio","14.29"
"2005-2007","S01001828","35 And Over","Ratio","22.22"
"2001-2003","S01001828","35 And Over","Ratio",20
"2006-2008","S01001828","35 And Over","Ratio","36.36"
"2007-2009","S01001828","35 And Over","Ratio","33.33"
"2011-2013","S01001828","35 And Over","Ratio",0
"2010-2012","S01001828","35 And Over","Ratio",0
"2008-2010","S01001829","35 And Over","Count",1
"2003-2005","S01001829","All","Count",12
"2000-2002","S01001829","35 And Over","Count",3
"2001-2003","S01001829","19 And Under","Count",1
"2007-2009","S01001829","All","Count",5
"2002-2004","S01001829","19 And Under","Count",1
"2009-2011","S01001829","35 And Over","Count",1
"2011-2013","S01001829","35 And Over","Count",0
"2001-2003","S01001829","All","Count",14
"2003-2005","S01001829","19 And Under","Count",1
"2006-2008","S01001829","All","Count",4
"2004-2006","S01001829","19 And Under","Count",0
"2005-2007","S01001829","35 And Over","Count",1
"2002-2004","S01001829","35 And Over","Count",4
"2006-2008","S01001829","35 And Over","Count",0
"2004-2006","S01001829","35 And Over","Count",3
"2005-2007","S01001829","19 And Under","Count",0
"2010-2012","S01001829","35 And Over","Count",0
"2003-2005","S01001829","35 And Over","Count",4
"2004-2006","S01001829","All","Count",8
"2006-2008","S01001829","19 And Under","Count",0
"2011-2013","S01001829","All","Count",1
"2007-2009","S01001829","35 And Over","Count",1
"2001-2003","S01001829","35 And Over","Count",4
"2005-2007","S01001829","All","Count",6
"2007-2009","S01001829","19 And Under","Count",0
"2008-2010","S01001829","19 And Under","Count",0
"2010-2012","S01001829","All","Count",2
"2009-2011","S01001829","19 And Under","Count",0
"2002-2004","S01001829","All","Count",14
"2009-2011","S01001829","All","Count",3
"2010-2012","S01001829","19 And Under","Count",0
"2000-2002","S01001829","19 And Under","Count",1
"2000-2002","S01001829","All","Count",12
"2011-2013","S01001829","19 And Under","Count",0
"2008-2010","S01001829","All","Count",4
"2001-2003","S01001829","19 And Under","Ratio","7.14"
"2002-2004","S01001829","19 And Under","Ratio","7.14"
"2003-2005","S01001829","19 And Under","Ratio","8.33"
"2004-2006","S01001829","19 And Under","Ratio",0
"2005-2007","S01001829","19 And Under","Ratio",0
"2006-2008","S01001829","19 And Under","Ratio",0
"2007-2009","S01001829","19 And Under","Ratio",0
"2008-2010","S01001829","19 And Under","Ratio",0
"2009-2011","S01001829","19 And Under","Ratio",0
"2010-2012","S01001829","19 And Under","Ratio",0
"2000-2002","S01001829","19 And Under","Ratio","8.33"
"2011-2013","S01001829","19 And Under","Ratio",0
"2003-2005","S01001829","35 And Over","Ratio","33.33"
"2008-2010","S01001829","35 And Over","Ratio",25
"2009-2011","S01001829","35 And Over","Ratio","33.33"
"2002-2004","S01001829","35 And Over","Ratio","28.57"
"2000-2002","S01001829","35 And Over","Ratio",25
"2004-2006","S01001829","35 And Over","Ratio","37.5"
"2005-2007","S01001829","35 And Over","Ratio","16.67"
"2001-2003","S01001829","35 And Over","Ratio","28.57"
"2006-2008","S01001829","35 And Over","Ratio",0
"2007-2009","S01001829","35 And Over","Ratio",20
"2011-2013","S01001829","35 And Over","Ratio",0
"2010-2012","S01001829","35 And Over","Ratio",0
"2008-2010","S01001830","35 And Over","Count",1
"2003-2005","S01001830","All","Count",8
"2000-2002","S01001830","35 And Over","Count",0
"2001-2003","S01001830","19 And Under","Count",1
"2007-2009","S01001830","All","Count",9
"2002-2004","S01001830","19 And Under","Count",1
"2009-2011","S01001830","35 And Over","Count",0
"2011-2013","S01001830","35 And Over","Count",0
"2001-2003","S01001830","All","Count",6
"2003-2005","S01001830","19 And Under","Count",1
"2006-2008","S01001830","All","Count",10
"2004-2006","S01001830","19 And Under","Count",1
"2005-2007","S01001830","35 And Over","Count",3
"2002-2004","S01001830","35 And Over","Count",2
"2006-2008","S01001830","35 And Over","Count",4
"2004-2006","S01001830","35 And Over","Count",2
"2005-2007","S01001830","19 And Under","Count",1
"2010-2012","S01001830","35 And Over","Count",0
"2003-2005","S01001830","35 And Over","Count",2
"2004-2006","S01001830","All","Count",8
"2006-2008","S01001830","19 And Under","Count",0
"2011-2013","S01001830","All","Count",4
"2007-2009","S01001830","35 And Over","Count",2
"2001-2003","S01001830","35 And Over","Count",2
"2005-2007","S01001830","All","Count",11
"2007-2009","S01001830","19 And Under","Count",1
"2008-2010","S01001830","19 And Under","Count",1
"2010-2012","S01001830","All","Count",6
"2009-2011","S01001830","19 And Under","Count",1
"2002-2004","S01001830","All","Count",7
"2009-2011","S01001830","All","Count",8
"2010-2012","S01001830","19 And Under","Count",1
"2000-2002","S01001830","19 And Under","Count",1
